iter	PairLogit	AverageGain:top=10
0	0.691330055	0.1525862069
1	0.6888640769	0.2183908046
2	0.6869867944	0.2215517241
3	0.6849168121	0.2313218391
4	0.6834782872	0.2385057471
5	0.6810570327	0.2525862069
6	0.6789961347	0.2566091954
7	0.6765350781	0.2635057471
8	0.6752905727	0.2614942529
9	0.6735862544	0.2554597701
10	0.6715261333	0.2583333333
11	0.6700231185	0.2626436782
12	0.6685195645	0.258908046
13	0.6670594767	0.2560344828
14	0.6653531827	0.2574712644
15	0.6641443132	0.266091954
16	0.6621946972	0.2715517241
17	0.6612154311	0.2706896552
18	0.6595762919	0.2715517241
19	0.6585365858	0.2721264368
20	0.6569392173	0.2718390805
21	0.6559635625	0.2712643678
22	0.654457487	0.2727011494
23	0.6534290315	0.2721264368
24	0.6518670255	0.2747126437
25	0.6509536664	0.2747126437
26	0.6494935223	0.275
27	0.6482543989	0.2775862069
28	0.6477554754	0.2775862069
29	0.6468375736	0.2804597701
30	0.6458206287	0.2853448276
31	0.6447851624	0.2841954023
32	0.644025022	0.2844827586
33	0.642833669	0.283908046
34	0.6422057475	0.2850574713
35	0.6416037905	0.2867816092
36	0.6408488324	0.2856321839
37	0.6400218257	0.2853448276
38	0.6395821619	0.2862068966
39	0.6387974362	0.2847701149
40	0.6382889157	0.2856321839
41	0.6375654997	0.2864942529
42	0.6370650233	0.2862068966
43	0.6362387546	0.2870689655
44	0.6352569287	0.2850574713
45	0.6344763952	0.2876436782
46	0.6336930826	0.2876436782
47	0.6331898917	0.2882183908
48	0.6325081037	0.2896551724
49	0.631698105	0.2908045977
50	0.6312476495	0.2896551724
51	0.6308760371	0.2882183908
52	0.6303141524	0.2902298851
53	0.6297203214	0.2893678161
54	0.6292316486	0.2913793103
55	0.6286094166	0.291091954
56	0.6282722675	0.2916666667
57	0.6279666381	0.2922413793
58	0.6276102949	0.2925287356
59	0.6272014798	0.2916666667
60	0.6267690871	0.2939655172
61	0.6262175482	0.2948275862
62	0.625888469	0.2942528736
63	0.6253944371	0.2948275862
64	0.6251360443	0.2968390805
65	0.6246298397	0.2954022989
66	0.6239931977	0.2974137931
67	0.6236446796	0.299137931
68	0.6230418073	0.2977011494
69	0.6226587486	0.2977011494
70	0.622237754	0.3014367816
71	0.6219274408	0.3002873563
72	0.6213312241	0.2997126437
73	0.6209621779	0.300862069
74	0.6203570646	0.3014367816
75	0.620138127	0.3031609195
76	0.6196625949	0.3005747126
77	0.6194498242	0.3014367816
78	0.6191905681	0.2997126437
79	0.6187471309	0.3014367816
80	0.6186611335	0.3014367816
81	0.6182618826	0.3002873563
82	0.6180163516	0.3011494253
83	0.6178548825	0.3005747126
84	0.6175557281	0.3014367816
85	0.6170964902	0.300862069
86	0.616751493	0.300862069
87	0.6164621729	0.3002873563
88	0.6161235225	0.3005747126
89	0.615428785	0.3028735632
90	0.6153197093	0.3025862069
91	0.6148751889	0.3020114943
92	0.6142922985	0.3040229885
93	0.614005234	0.3031609195
94	0.6137482393	0.3025862069
95	0.6135496364	0.3022988506
96	0.6133426177	0.3037356322
97	0.6130051475	0.3034482759
98	0.6128805031	0.3040229885
99	0.6124262287	0.3048850575
100	0.6119625572	0.3063218391
101	0.6116518133	0.3054597701
102	0.611382084	0.3045977011
103	0.611108823	0.3045977011
104	0.6107286527	0.3037356322
105	0.6103362114	0.3051724138
106	0.6099723484	0.3054597701
107	0.6092386081	0.3077586207
108	0.6088388409	0.3074712644
109	0.6084787469	0.3077586207
110	0.6080405573	0.3097701149
111	0.6079050775	0.3103448276
112	0.6075195088	0.3103448276
113	0.6070010509	0.3109195402
114	0.6067075041	0.3120689655
115	0.606562064	0.3123563218
116	0.6060346451	0.3109195402
117	0.6058095971	0.3114942529
118	0.6057341343	0.3126436782
119	0.6055367	0.3132183908
120	0.6050127571	0.3129310345
121	0.6046846844	0.3152298851
122	0.6044986622	0.3149425287
123	0.6043307065	0.3158045977
124	0.6041991767	0.3158045977
125	0.6038360789	0.3140804598
126	0.6036706585	0.3146551724
127	0.6033954812	0.3146551724
128	0.6030225252	0.3172413793
129	0.6026637812	0.3181034483
130	0.6022444713	0.316954023
131	0.6019619536	0.316091954
132	0.6017346326	0.316954023
133	0.6011729373	0.3155172414
134	0.6007609749	0.3149425287
135	0.6006867893	0.3146551724
136	0.6002420644	0.3158045977
137	0.5998563384	0.3172413793
138	0.5994966598	0.3175287356
139	0.5993430406	0.3175287356
140	0.5991635915	0.317816092
141	0.5989845034	0.3192528736
142	0.5988819831	0.3195402299
143	0.5985366353	0.3198275862
144	0.5982736311	0.3186781609
145	0.5980591893	0.3183908046
146	0.597765711	0.3195402299
147	0.5975751692	0.3209770115
148	0.5972928044	0.3212643678
149	0.5969932287	0.3218390805
150	0.5965459244	0.3209770115
151	0.5962414043	0.3215517241
152	0.5961579893	0.3215517241
153	0.59570025	0.3218390805
154	0.5955185671	0.3218390805
155	0.595122645	0.3218390805
156	0.5949377993	0.3215517241
157	0.594774655	0.3209770115
158	0.5943898976	0.3235632184
159	0.593845978	0.3229885057
160	0.5936225086	0.3229885057
161	0.5933981817	0.3229885057
162	0.5928410478	0.3229885057
163	0.5926067355	0.324137931
164	0.5922884793	0.3247126437
165	0.5919393224	0.3261494253
166	0.591574442	0.325
167	0.5911869184	0.3252873563
168	0.5906373197	0.325
169	0.589980977	0.3244252874
170	0.5898694016	0.3255747126
171	0.5894970185	0.325862069
172	0.5892632809	0.325862069
173	0.5889791337	0.3255747126
174	0.5887648093	0.324137931
175	0.5886719128	0.325
176	0.5883745007	0.3264367816
177	0.5881528468	0.3261494253
178	0.5880004447	0.3267241379
179	0.5876712033	0.3272988506
180	0.5876003005	0.3267241379
181	0.5873121851	0.3270114943
182	0.5868734101	0.3267241379
183	0.5866814027	0.3267241379
184	0.5863814009	0.3275862069
185	0.5862684794	0.3278735632
186	0.5859066752	0.3264367816
187	0.5857466391	0.3272988506
188	0.5856281781	0.3275862069
189	0.5855005209	0.3284482759
190	0.5850928852	0.3301724138
191	0.5849749193	0.3293103448
192	0.5847657381	0.3293103448
193	0.584612059	0.3293103448
194	0.5843585236	0.3307471264
195	0.5840599767	0.3307471264
196	0.5839198107	0.3307471264
197	0.5837497221	0.3293103448
198	0.5834838184	0.3301724138
199	0.5833203033	0.3313218391
200	0.583114016	0.332183908
201	0.5830507842	0.3313218391
202	0.5826948382	0.332183908
203	0.5824834443	0.3313218391
204	0.5821905211	0.3295977011
205	0.5820036848	0.3307471264
206	0.5815925974	0.3310344828
207	0.5814725669	0.3310344828
208	0.5812209499	0.332183908
209	0.5810930356	0.3324712644
210	0.5808920867	0.3316091954
211	0.5806718211	0.3307471264
212	0.5803802377	0.3324712644
213	0.5801155876	0.3333333333
214	0.5799715937	0.333045977
215	0.5797958975	0.333908046
216	0.5795910484	0.3324712644
217	0.5793456678	0.3341954023
218	0.5789343594	0.3344827586
219	0.5787242323	0.3347701149
220	0.5782922989	0.3356321839
221	0.5780091673	0.3359195402
222	0.5779204699	0.3359195402
223	0.5777307943	0.3359195402
224	0.5775357234	0.3367816092
225	0.5772608716	0.3370689655
226	0.577062007	0.3373563218
227	0.5769194984	0.3370689655
228	0.576642623	0.3370689655
229	0.5765920036	0.3367816092
230	0.5762618482	0.3362068966
231	0.5762146638	0.3362068966
232	0.5760255692	0.3370689655
233	0.5758245741	0.3367816092
234	0.5757478567	0.3373563218
235	0.5755552675	0.3376436782
236	0.5752907608	0.3373563218
237	0.5751191107	0.3370689655
238	0.5749327096	0.3379310345
239	0.5747089918	0.3379310345
240	0.5744887709	0.3376436782
241	0.5741231086	0.3385057471
242	0.5739656559	0.3387931034
243	0.5737122678	0.3382183908
244	0.5736026071	0.3382183908
245	0.5734678822	0.3382183908
246	0.5732143397	0.3387931034
247	0.5730703241	0.3390804598
248	0.5729523626	0.3387931034
249	0.5727675921	0.3390804598
250	0.5726813363	0.3390804598
251	0.5725349983	0.3396551724
252	0.5722966072	0.3402298851
253	0.5720982611	0.3399425287
254	0.5718419433	0.3396551724
255	0.5715054438	0.3399425287
256	0.571390809	0.3402298851
257	0.5711021025	0.3396551724
258	0.5708353306	0.3390804598
259	0.5704584373	0.3396551724
260	0.5703852362	0.3405172414
261	0.5702142492	0.3399425287
262	0.569755234	0.3399425287
263	0.5695937339	0.3402298851
264	0.569343248	0.3396551724
265	0.5692553556	0.3396551724
266	0.5689083942	0.3402298851
267	0.5686237666	0.3402298851
