iter	PairLogit	AverageGain:top=10
0	0.6883382066	0.2206896552
1	0.6838464748	0.2629310345
2	0.6797238322	0.2729885057
3	0.6756683538	0.2790229885
4	0.67142317	0.2859195402
5	0.6675045024	0.2844827586
6	0.6640785286	0.2859195402
7	0.6605847591	0.2850574713
8	0.6575369571	0.2864942529
9	0.6543190042	0.2870689655
10	0.6513285609	0.2905172414
11	0.6485939939	0.2885057471
12	0.6459009408	0.2905172414
13	0.643521454	0.299137931
14	0.6410097697	0.3
15	0.6386315325	0.3
16	0.6363998266	0.3014367816
17	0.634332732	0.3043103448
18	0.6322847634	0.3063218391
19	0.6301201065	0.3074712644
20	0.628303217	0.3100574713
21	0.6264049521	0.308045977
22	0.6244525442	0.3077586207
23	0.6226129298	0.308045977
24	0.6208289199	0.308045977
25	0.6190983242	0.3094827586
26	0.6175467039	0.3103448276
27	0.615914656	0.3091954023
28	0.6144018307	0.3103448276
29	0.6128113663	0.3112068966
30	0.6113600653	0.3109195402
31	0.6098424408	0.3146551724
32	0.6084426749	0.3143678161
33	0.6069199642	0.3129310345
34	0.6057880567	0.3166666667
35	0.6042938626	0.3189655172
36	0.6030958787	0.3189655172
37	0.6018524266	0.3192528736
38	0.6006672876	0.317816092
39	0.5994108992	0.3192528736
40	0.5979893879	0.3201149425
41	0.596973173	0.3215517241
42	0.5959021156	0.3215517241
43	0.5947368894	0.3204022989
44	0.593554691	0.3238505747
45	0.5925317006	0.324137931
46	0.5912193479	0.3252873563
47	0.5899510092	0.3221264368
48	0.5888447732	0.3232758621
49	0.5877619239	0.3261494253
50	0.586911398	0.325862069
51	0.5858508956	0.3304597701
52	0.584814346	0.3310344828
53	0.5838555095	0.3301724138
54	0.5827602866	0.3301724138
55	0.5817645532	0.333045977
56	0.5807619249	0.332183908
57	0.5799189267	0.3341954023
58	0.5790334542	0.3316091954
59	0.5780364262	0.332183908
60	0.5772706068	0.3327586207
61	0.5764699531	0.3324712644
62	0.5757141157	0.3327586207
63	0.5748380775	0.333908046
64	0.5739405324	0.3327586207
65	0.573138118	0.3344827586
66	0.5723409218	0.3344827586
67	0.5715018887	0.3333333333
68	0.5707623898	0.333045977
69	0.5699003205	0.3341954023
