iter	Passed	Remaining
0	729	1458968
1	1487	1485892
2	2232	1486271
3	2997	1495942
4	3786	1510632
5	4546	1510792
6	5317	1514086
7	6122	1524436
8	6878	1521714
9	7683	1529092
10	8459	1529615
11	9235	1529985
12	9998	1528297
13	10764	1526952
14	11535	1526503
15	12309	1526347
16	13065	1524064
17	13884	1528858
18	14705	1533208
19	15494	1533991
20	16264	1532729
21	17089	1536466
22	17890	1537826
23	18640	1534707
24	19422	1534366
25	20166	1531104
26	21004	1534867
27	21783	1534186
28	22559	1533293
29	23312	1530821
30	24062	1528336
31	24820	1526481
32	25598	1525832
33	26364	1524478
34	27206	1527432
35	28042	1529876
36	28838	1529975
37	29651	1530936
38	30444	1530798
39	31236	1530598
40	32040	1530897
41	32860	1531906
42	33653	1531639
43	34451	1531514
44	35253	1531574
45	36047	1531243
46	36848	1531185
47	37656	1531373
48	38446	1530814
49	39236	1530224
50	40020	1529417
51	40764	1527116
52	41504	1524694
53	42276	1523507
54	43085	1523658
55	43829	1521495
56	44639	1521667
57	45448	1521731
58	46243	1521328
59	47051	1521317
60	47867	1521566
61	48633	1520188
62	49379	1518225
63	50120	1516158
64	50876	1514543
65	51654	1513624
66	52428	1512595
67	53187	1511143
68	53946	1509720
69	54724	1508839
70	55516	1508330
71	56296	1507507
72	57051	1506011
73	57841	1505432
74	58624	1504687
75	59379	1503242
76	60122	1501512
77	60914	1500996
78	61689	1500067
79	62476	1499433
80	63266	1498880
81	64087	1499016
82	64843	1497661
83	65603	1496375
84	66348	1494793
85	67129	1494029
86	67929	1493675
87	68708	1492837
88	69479	1491848
89	70253	1490927
90	71007	1489604
91	71757	1488180
92	72514	1486931
93	73262	1485508
94	74023	1484375
95	74785	1483248
96	75535	1481894
97	76276	1480388
98	77017	1478899
99	77768	1477602
100	78556	1477011
101	79305	1475711
102	80075	1474789
103	80825	1473514
104	81593	1472568
105	82341	1471271
106	83098	1470135
107	83841	1468775
108	84607	1467815
109	85367	1466776
110	86129	1465754
111	86888	1464692
112	87638	1463488
113	88402	1462525
114	89148	1461253
115	89895	1460025
116	90653	1458974
117	91403	1457801
118	92156	1456685
119	92905	1455517
120	93704	1455135
121	94464	1454136
122	95235	1453304
123	96003	1452439
124	96824	1452363
125	97617	1451863
126	98400	1451211
127	99158	1450197
128	99916	1449172
129	100683	1448294
130	101428	1447102
131	102180	1446013
132	102964	1445369
133	103734	1444545
134	104507	1443745
135	105250	1442557
136	106061	1442276
137	106815	1441228
138	107552	1439964
139	108321	1439128
140	109072	1438057
141	109814	1436863
142	110564	1435792
143	111353	1435227
144	112166	1434956
145	112955	1434379
146	113747	1433837
147	114557	1433520
148	115364	1433147
149	116179	1432877
150	116987	1432510
151	117782	1431984
152	118574	1431415
153	119355	1430710
154	120136	1430016
155	120915	1429284
156	121675	1428332
157	122422	1427227
158	123195	1426429
159	123967	1425623
160	124732	1424739
161	125484	1423704
162	126234	1422659
163	127012	1421916
164	127783	1421110
165	128583	1420614
166	129340	1419647
167	130097	1418678
168	130838	1417546
169	131600	1416640
170	132375	1415876
171	133121	1414802
172	133878	1413845
173	134630	1412846
174	135429	1412336
175	136239	1411934
176	137031	1411343
177	137806	1410576
178	138564	1409644
179	139328	1408769
180	140080	1407770
181	140828	1406741
182	141583	1405780
183	142356	1405000
184	143156	1404485
185	143905	1403465
186	144649	1402402
187	145399	1401400
188	146139	1400306
189	146879	1399218
190	147635	1398284
191	148426	1397686
192	149187	1396794
193	149933	1395772
194	150708	1395020
195	151472	1394169
196	152240	1393349
197	152998	1392442
198	153801	1391941
199	154562	1391059
200	155310	1390068
201	156062	1389107
202	156850	1388477
203	157628	1387748
204	158410	1387055
205	159222	1386624
206	160029	1386146
207	160834	1385655
208	161624	1385025
209	162414	1384387
210	163206	1383777
211	163993	1383115
212	164757	1382263
213	165535	1381524
214	166293	1380621
215	167026	1379517
216	167804	1378778
217	168592	1378130
218	169365	1377347
219	170159	1376745
220	170942	1376047
221	171693	1375093
222	172465	1374313
223	173218	1373373
224	173990	1372593
225	174784	1371983
226	175546	1371119
227	176312	1370288
228	177065	1369356
229	177825	1368483
230	178625	1367912
231	179391	1367087
232	180184	1366467
233	180958	1365698
234	181711	1364765
235	182466	1363856
236	183246	1363139
237	183988	1362130
238	184747	1361254
239	185550	1360705
240	186309	1359828
241	187096	1359154
242	187920	1358753
243	188780	1358601
244	189604	1358187
245	190444	1357881
246	191249	1357332
247	191973	1356201
248	192705	1355131
249	193446	1354123
250	194273	1353724
251	195080	1353178
252	195852	1352389
253	196597	1351415
254	197350	1350499
255	198112	1349639
256	198921	1349108
257	199767	1348820
258	200595	1348407
