iter	QueryRMSE	AverageGain:top=10
0	0.1913123624	0.208045977
1	0.1908889558	0.2543103448
2	0.1904558982	0.2692528736
3	0.1900368234	0.2798850575
4	0.1896866403	0.2775862069
5	0.1893154784	0.2767241379
6	0.1889972024	0.2795977011
7	0.1886712664	0.2890804598
8	0.1883788277	0.2827586207
9	0.1880510947	0.2885057471
10	0.1877536802	0.2896551724
11	0.1873897586	0.2916666667
12	0.1871202015	0.2913793103
13	0.1868560185	0.2905172414
14	0.1865620213	0.2908045977
15	0.1862919813	0.2925287356
16	0.1860143731	0.2922413793
17	0.1857552248	0.291954023
18	0.1855085175	0.2905172414
19	0.1852599846	0.2922413793
20	0.1850071841	0.291091954
21	0.1847511417	0.292816092
22	0.1845420695	0.2933908046
23	0.1843023391	0.2956896552
24	0.184077182	0.2951149425
25	0.1838714636	0.2951149425
26	0.1836674782	0.2982758621
27	0.1835099582	0.300862069
28	0.1833273047	0.3028735632
29	0.1831641131	0.3034482759
30	0.1829822751	0.3048850575
31	0.182852046	0.3045977011
32	0.182664896	0.3034482759
33	0.1824603754	0.3048850575
34	0.1822730822	0.3045977011
35	0.1821041808	0.3057471264
36	0.181905068	0.3083333333
37	0.1817835052	0.308908046
38	0.1816162107	0.3097701149
39	0.1814578315	0.307183908
40	0.1812653839	0.3091954023
41	0.1811140665	0.3103448276
42	0.1809705759	0.3097701149
43	0.1808149137	0.3120689655
44	0.1806737476	0.3114942529
45	0.1805255366	0.3112068966
46	0.180395281	0.3103448276
47	0.18025543	0.3126436782
48	0.180144042	0.3135057471
49	0.1800213436	0.3137931034
50	0.1799179458	0.3140804598
51	0.1797521891	0.3126436782
52	0.1796465325	0.3129310345
53	0.1795178253	0.3149425287
54	0.1794150271	0.3146551724
55	0.1793364185	0.3135057471
56	0.1792112293	0.3146551724
57	0.1791282116	0.3143678161
58	0.1790247215	0.3155172414
59	0.1789340068	0.316091954
60	0.1788377617	0.3172413793
61	0.1786902177	0.3149425287
62	0.1785382369	0.3166666667
63	0.178421803	0.3183908046
64	0.1783161626	0.3189655172
65	0.1782016396	0.3204022989
66	0.178109592	0.3189655172
67	0.1780219757	0.3189655172
68	0.1779204506	0.316954023
69	0.1778314811	0.316954023
70	0.1777219023	0.3209770115
71	0.1776231209	0.3227011494
72	0.1775385595	0.3235632184
73	0.1774362011	0.3224137931
74	0.1773354583	0.3235632184
75	0.1772390035	0.3238505747
76	0.1771398614	0.3247126437
77	0.177043349	0.3247126437
78	0.1769250924	0.325
79	0.1768283214	0.3238505747
80	0.176760997	0.3238505747
81	0.1766788946	0.3247126437
82	0.176593893	0.325
83	0.1765379595	0.324137931
84	0.1764540285	0.325
85	0.1763656621	0.3261494253
86	0.1762792898	0.3264367816
87	0.1762023805	0.325862069
88	0.1761151246	0.3275862069
89	0.1760307702	0.3278735632
90	0.1759688038	0.3270114943
91	0.175884865	0.3267241379
92	0.1758306074	0.3270114943
93	0.17576353	0.3270114943
94	0.1756903621	0.3272988506
95	0.1756148689	0.3287356322
96	0.1755482034	0.3298850575
97	0.1754772621	0.3307471264
98	0.1754094484	0.3307471264
99	0.1753415334	0.3307471264
100	0.1752932393	0.3313218391
101	0.1752318865	0.3307471264
102	0.1751690078	0.3301724138
103	0.1751247392	0.3301724138
104	0.1750457864	0.3298850575
105	0.1749712704	0.3304597701
106	0.174889714	0.3313218391
107	0.1748189201	0.3304597701
108	0.174768281	0.3301724138
109	0.1747053737	0.3304597701
110	0.1746393553	0.3316091954
111	0.1745766879	0.3316091954
112	0.1745150314	0.3324712644
113	0.1744617852	0.332183908
114	0.1743917291	0.3327586207
115	0.1742995631	0.333908046
116	0.1742071627	0.3344827586
117	0.1741141083	0.3353448276
118	0.1740535005	0.3356321839
119	0.1740148828	0.3353448276
120	0.1739539318	0.3356321839
121	0.1738959687	0.3353448276
122	0.1738380446	0.3347701149
123	0.1737634987	0.3359195402
124	0.173718351	0.3362068966
125	0.173653754	0.3364942529
126	0.1735877471	0.3364942529
127	0.1735309781	0.3382183908
128	0.1734465196	0.3379310345
129	0.1733894879	0.3382183908
130	0.1733516288	0.3373563218
131	0.1732894865	0.3379310345
132	0.1731772701	0.3376436782
133	0.1731299598	0.3373563218
134	0.1730814055	0.3382183908
135	0.1730387443	0.3379310345
136	0.1729796435	0.3376436782
137	0.1729246583	0.3379310345
138	0.1728767501	0.3382183908
139	0.1728346039	0.3390804598
140	0.1727649036	0.3393678161
141	0.1726918867	0.3399425287
142	0.1726077989	0.3405172414
143	0.1725522029	0.3405172414
144	0.1725107038	0.3408045977
145	0.1724732117	0.3408045977
146	0.1724224775	0.3408045977
147	0.1723625275	0.3413793103
148	0.172301189	0.3413793103
149	0.1722733366	0.3408045977
150	0.1722335296	0.3408045977
151	0.1721536893	0.3433908046
152	0.172111661	0.3436781609
153	0.1720559344	0.3436781609
154	0.1719846763	0.3442528736
155	0.1719303249	0.3445402299
156	0.1719020641	0.3436781609
157	0.1718268406	0.3442528736
158	0.1717725813	0.3445402299
159	0.17171146	0.3451149425
160	0.1716701733	0.3445402299
161	0.1716429531	0.3451149425
162	0.1716158953	0.3448275862
163	0.1715859713	0.3448275862
164	0.1715257581	0.3448275862
165	0.1714834215	0.3448275862
166	0.1714106902	0.3448275862
