iter	Passed	Remaining
0	9	19862
1	17	17671
2	25	17100
3	34	17160
4	42	17153
5	51	16950
6	58	16582
7	65	16414
8	73	16255
9	80	15999
10	87	15777
11	94	15574
12	101	15535
13	109	15486
14	116	15399
15	123	15321
16	130	15207
17	138	15222
18	144	15113
19	151	14996
20	158	14924
21	165	14895
22	172	14848
23	179	14767
24	185	14692
25	192	14632
26	199	14600
27	206	14568
28	213	14509
29	220	14455
30	226	14409
31	233	14387
32	242	14444
33	249	14410
34	255	14366
35	262	14330
36	269	14319
37	277	14313
38	283	14277
39	290	14232
40	297	14200
41	304	14213
42	312	14203
43	319	14190
44	327	14235
45	334	14229
46	342	14211
47	348	14191
48	355	14166
49	362	14153
50	370	14149
51	377	14155
52	384	14122
53	390	14090
54	398	14087
55	405	14071
56	412	14045
57	418	14028
58	426	14016
59	433	14014
60	440	14000
61	447	13999
62	455	13992
63	462	13989
64	469	13991
65	477	13994
66	484	13981
67	492	13982
68	499	13987
69	507	13992
70	515	13998
71	522	13998
72	529	13972
73	535	13950
74	542	13931
75	550	13926
76	559	13982
77	567	13992
78	575	14001
79	582	13988
80	589	13969
81	596	13963
82	604	13958
83	610	13932
84	617	13911
85	624	13889
86	631	13883
87	638	13864
88	644	13840
89	651	13828
90	658	13818
91	665	13806
92	672	13793
93	679	13772
94	686	13760
95	692	13740
96	699	13724
97	706	13708
98	713	13691
99	719	13677
100	726	13665
101	733	13650
102	740	13632
103	746	13616
104	753	13602
105	760	13596
106	767	13580
107	774	13569
108	781	13553
109	787	13537
110	794	13523
111	801	13514
112	808	13503
113	815	13491
114	822	13479
115	829	13471
116	836	13467
117	844	13463
118	851	13462
119	858	13454
120	866	13451
121	873	13444
122	880	13435
123	888	13437
124	896	13441
125	903	13432
126	910	13423
127	917	13412
128	924	13413
129	931	13403
130	938	13389
131	946	13388
132	954	13400
133	964	13427
134	972	13431
135	979	13428
136	987	13433
137	995	13433
138	1002	13427
139	1010	13421
140	1019	13435
141	1026	13434
142	1034	13431
143	1041	13421
144	1048	13409
145	1054	13392
146	1061	13379
147	1067	13363
148	1074	13351
149	1083	13361
150	1090	13348
151	1096	13335
152	1103	13318
153	1109	13304
154	1116	13295
155	1123	13281
156	1130	13266
157	1136	13250
158	1143	13245
159	1150	13235
160	1158	13227
161	1164	13213
162	1171	13206
163	1179	13208
164	1187	13207
165	1195	13203
166	1202	13197
167	1210	13195
168	1217	13195
169	1225	13190
170	1232	13184
171	1239	13170
172	1246	13159
173	1252	13144
174	1259	13133
175	1266	13122
176	1274	13122
177	1280	13110
178	1287	13097
179	1294	13087
180	1300	13074
181	1308	13068
182	1314	13056
183	1321	13043
184	1328	13030
185	1334	13016
186	1341	13007
187	1348	12995
188	1355	12987
189	1362	12976
190	1369	12968
191	1376	12963
192	1385	12970
193	1392	12966
194	1400	12965
195	1408	12959
196	1415	12956
197	1425	12970
198	1433	12975
199	1441	12973
200	1450	12985
201	1459	12987
202	1468	12997
203	1476	13002
204	1484	12998
205	1491	12989
206	1498	12981
207	1506	12979
208	1513	12968
209	1519	12954
210	1526	12942
211	1533	12930
212	1540	12922
213	1546	12910
214	1553	12899
215	1560	12885
216	1566	12873
217	1573	12864
218	1580	12854
219	1587	12844
220	1594	12836
221	1601	12826
222	1608	12817
223	1615	12805
224	1622	12798
225	1628	12784
226	1635	12774
227	1642	12766
228	1649	12755
229	1656	12749
230	1663	12739
231	1670	12728
232	1677	12719
233	1683	12707
234	1690	12695
235	1696	12683
236	1703	12671
237	1710	12662
238	1717	12651
239	1723	12641
240	1730	12628
241	1736	12618
242	1743	12608
243	1750	12599
244	1757	12590
245	1764	12578
246	1771	12570
247	1778	12563
248	1786	12563
249	1793	12554
250	1801	12549
251	1807	12539
252	1814	12530
253	1821	12519
254	1827	12506
255	1834	12496
256	1841	12486
257	1848	12477
258	1854	12467
259	1861	12455
260	1867	12445
261	1874	12435
262	1881	12424
263	1887	12412
264	1894	12401
265	1900	12391
266	1908	12385
267	1915	12377
268	1921	12366
269	1929	12360
270	1936	12353
271	1943	12346
272	1951	12344
273	1963	12365
274	1970	12362
275	1977	12353
276	1984	12342
277	1991	12334
278	1999	12334
279	2007	12330
280	2014	12323
281	2021	12314
282	2028	12307
283	2036	12302
284	2043	12299
285	2050	12289
286	2058	12284
287	2065	12275
288	2072	12271
289	2079	12261
290	2086	12251
291	2092	12241
292	2099	12230
293	2106	12225
294	2113	12215
295	2120	12205
296	2126	12195
297	2133	12183
298	2140	12174
299	2146	12164
300	2153	12156
301	2160	12148
302	2168	12144
303	2175	12139
304	2182	12130
305	2190	12124
306	2198	12121
307	2205	12116
308	2212	12109
309	2220	12103
310	2227	12098
311	2236	12099
312	2243	12093
313	2250	12085
314	2258	12079
315	2266	12076
316	2273	12070
317	2280	12061
318	2287	12055
319	2295	12053
320	2303	12050
321	2310	12042
322	2317	12033
323	2324	12023
324	2331	12016
325	2338	12006
326	2344	11996
327	2351	11986
328	2358	11977
329	2366	11973
330	2373	11968
331	2385	11983
332	2394	11984
333	2401	11979
334	2408	11969
335	2414	11958
336	2421	11947
337	2427	11935
338	2433	11925
339	2440	11917
340	2447	11907
341	2454	11897
342	2461	11890
