iter	QuerySoftMax	AverageGain:top=1
0	4.599540487	0.0848736731
1	4.571174776	0.1438571095
2	4.546656007	0.1687828293
3	4.518976382	0.2047601802
4	4.505311885	0.2382924302
5	4.484575628	0.2485361002
6	4.455692807	0.273803998
7	4.429724111	0.273803998
8	4.408035675	0.3104948651
9	4.389220407	0.2984894506
10	4.369557429	0.3112687072
11	4.349715067	0.3168158924
12	4.324186782	0.3404554931
13	4.300812279	0.3741055421
14	4.276946711	0.3729916288
15	4.253289769	0.3729916288
16	4.244382968	0.3731487552
17	4.224897786	0.4092516881
18	4.205876713	0.4092516881
19	4.18909636	0.4025179762
20	4.169907153	0.4025179762
21	4.157392683	0.4025179762
22	4.136159565	0.4260852263
23	4.116999487	0.4260852263
24	4.097060627	0.4395306019
25	4.080627008	0.4395306019
26	4.069257295	0.449774272
27	4.053579386	0.449774272
28	4.039283884	0.449774272
29	4.027045218	0.4363288963
30	4.010326634	0.449774272
31	3.996419744	0.4681909059
32	3.982850865	0.4681909059
33	3.96330881	0.4701085379
34	3.947722397	0.4701085379
35	3.938565485	0.4701085379
36	3.921787292	0.516962365
37	3.902724186	0.516962365
38	3.886725861	0.516962365
39	3.872036402	0.5127648818
40	3.860698298	0.495248881
41	3.846486513	0.5355588298
42	3.820963871	0.5552222048
43	3.804108246	0.537706204
44	3.798059693	0.5486514707
45	3.791434471	0.5286126378
46	3.78327952	0.5286126378
47	3.767910552	0.5492525423
48	3.749931962	0.5492525423
49	3.735797359	0.5492525423
50	3.725574334	0.5540726385
51	3.714005399	0.5493896724
52	3.700958102	0.5493896724
53	3.687794389	0.5694285053
54	3.668766749	0.6153241391
55	3.655939908	0.6319024945
56	3.649360408	0.6319024945
57	3.63947964	0.6083352444
58	3.625061603	0.6083352444
59	3.606019251	0.6083352444
60	3.593562303	0.6083352444
61	3.578591441	0.5855412964
62	3.567300996	0.5855412964
63	3.55037507	0.589001804
64	3.540263538	0.589001804
65	3.532635717	0.5896958696
66	3.519063777	0.5970602221
67	3.508842816	0.5996772378
68	3.504227432	0.5996772378
69	3.492115279	0.6252169078
