iter	Passed	Remaining
0	38	75981
1	73	73068
2	108	71902
3	140	70335
4	176	70372
5	208	69382
6	241	68781
7	275	68557
8	309	68368
9	346	69034
10	379	68574
11	411	68090
12	442	67657
13	474	67282
14	504	66736
15	534	66289
16	566	66079
17	596	65659
18	626	65324
19	656	64985
20	686	64691
21	715	64363
22	745	64038
23	774	63761
24	804	63520
25	835	63398
26	864	63145
27	895	63040
28	926	62982
29	957	62904
30	988	62781
31	1019	62691
32	1048	62500
33	1077	62300
34	1106	62115
35	1137	62058
36	1168	62013
37	1199	61930
38	1230	61877
39	1259	61719
40	1289	61597
41	1318	61466
42	1348	61379
43	1380	61350
44	1413	61392
45	1444	61368
46	1475	61293
47	1505	61237
48	1535	61132
49	1564	61021
50	1593	60910
51	1622	60799
52	1652	60714
53	1683	60663
54	1715	60657
55	1747	60665
56	1777	60576
57	1806	60499
58	1835	60398
59	1865	60310
60	1894	60214
61	1924	60141
62	1953	60060
63	1983	60010
64	2014	59981
65	2046	59963
66	2077	59945
67	2108	59906
68	2140	59890
69	2172	59890
70	2201	59820
71	2231	59750
72	2260	59681
73	2290	59615
74	2320	59554
75	2349	59478
76	2379	59413
77	2409	59362
78	2438	59300
79	2468	59233
80	2497	59172
81	2527	59125
82	2558	59081
83	2588	59039
84	2622	59081
85	2656	59113
86	2685	59044
87	2714	58983
88	2744	58921
89	2773	58862
90	2803	58806
91	2835	58812
92	2870	58867
93	2902	58854
94	2932	58810
95	2962	58756
96	2992	58718
97	3024	58700
98	3053	58642
99	3082	58575
100	3112	58522
101	3141	58465
102	3171	58412
103	3201	58357
104	3230	58309
105	3260	58252
106	3289	58196
107	3319	58147
108	3351	58145
109	3385	58170
110	3420	58203
111	3452	58203
112	3484	58185
113	3514	58140
114	3545	58107
115	3575	58076
116	3605	58026
117	3635	57987
118	3666	57960
119	3698	57948
120	3730	57930
121	3761	57901
122	3790	57850
123	3820	57804
124	3850	57753
125	3879	57705
126	3909	57658
127	3938	57607
128	3968	57559
129	4000	57543
130	4032	57532
131	4064	57515
132	4097	57517
133	4129	57506
134	4161	57496
135	4193	57471
136	4223	57434
137	4254	57398
138	4285	57375
139	4319	57381
140	4351	57377
141	4385	57381
142	4421	57413
143	4456	57433
144	4486	57400
145	4518	57379
146	4550	57360
147	4580	57316
148	4611	57284
149	4643	57264
150	4674	57243
151	4704	57198
152	4734	57155
153	4765	57120
154	4797	57106
155	4827	57059
156	4858	57028
157	4889	57000
158	4921	56981
159	4959	57032
160	4990	57008
161	5022	56986
162	5054	56959
163	5086	56946
164	5117	56910
165	5147	56868
166	5177	56827
167	5207	56787
168	5237	56742
169	5267	56698
170	5297	56657
171	5327	56617
172	5357	56575
173	5387	56540
174	5418	56512
175	5450	56483
176	5479	56438
177	5509	56399
178	5539	56359
179	5570	56319
180	5599	56275
181	5629	56236
182	5659	56193
183	5689	56150
184	5719	56110
185	5749	56069
186	5779	56030
187	5809	55989
188	5839	55950
189	5868	55906
190	5898	55864
191	5928	55827
192	5959	55794
193	5991	55776
194	6023	55756
195	6063	55809
196	6094	55782
197	6124	55741
198	6156	55721
199	6186	55682
200	6217	55645
201	6247	55610
202	6278	55574
203	6308	55540
204	6338	55503
205	6369	55466
206	6399	55427
207	6430	55400
208	6462	55375
209	6492	55340
210	6522	55300
211	6552	55263
212	6582	55222
213	6611	55179
214	6643	55155
215	6674	55129
216	6708	55121
217	6740	55102
218	6773	55084
219	6804	55056
220	6837	55042
221	6868	55006
222	6898	54967
223	6927	54923
224	6959	54898
225	6991	54883
226	7027	54888
227	7061	54881
228	7095	54874
229	7127	54850
230	7157	54811
231	7187	54777
232	7219	54751
233	7249	54715
234	7279	54674
235	7309	54634
236	7339	54600
237	7371	54573
238	7403	54547
239	7433	54512
240	7465	54489
241	7496	54459
242	7527	54427
243	7557	54389
244	7587	54353
245	7620	54334
246	7650	54297
247	7681	54265
248	7712	54234
249	7744	54211
250	7775	54182
251	7809	54169
252	7839	54135
253	7870	54098
254	7901	54070
255	7933	54047
256	7965	54019
257	7995	53987
258	8026	53954
259	8057	53922
260	8087	53888
261	8119	53859
262	8150	53829
263	8182	53804
264	8212	53768
265	8243	53735
266	8273	53700
267	8304	53670
268	8335	53638
269	8366	53608
270	8397	53579
271	8428	53543
272	8458	53510
273	8490	53481
274	8520	53444
275	8549	53403
276	8579	53368
277	8610	53332
278	8641	53303
279	8672	53274
280	8703	53243
281	8733	53205
282	8763	53169
283	8794	53140
284	8824	53102
285	8854	53065
286	8884	53029
287	8916	53000
288	8948	52980
289	8980	52953
290	9012	52929
291	9047	52923
292	9078	52893
293	9108	52855
294	9138	52818
295	9170	52789
296	9201	52761
297	9232	52731
298	9262	52695
299	9292	52659
300	9322	52618
301	9352	52583
302	9382	52546
303	9413	52515
304	9443	52479
305	9474	52450
306	9506	52422
307	9538	52397
308	9572	52384
309	9601	52346
310	9631	52307
311	9662	52277
312	9693	52245
313	9725	52220
314	9756	52187
315	9786	52153
316	9817	52120
317	9847	52083
318	9877	52052
319	9909	52022
320	9938	51986
321	9969	51950
322	10002	51932
323	10033	51902
324	10066	51881
325	10097	51851
326	10128	51820
327	10159	51787
328	10190	51758
329	10222	51732
330	10252	51697
331	10283	51665
332	10313	51631
333	10344	51597
334	10375	51566
335	10405	51534
336	10438	51508
337	10469	51478
338	10500	51449
339	10531	51419
340	10563	51390
341	10594	51362
342	10625	51332
343	10657	51305
344	10688	51274
345	10719	51243
346	10750	51214
347	10782	51183
348	10814	51159
349	10848	51140
350	10879	51114
351	10911	51085
352	10942	51052
353	10972	51020
354	11003	50989
355	11034	50958
356	11069	50945
357	11101	50918
358	11132	50887
359	11163	50856
360	11194	50826
361	11226	50796
362	11257	50765
363	11287	50731
364	11318	50701
365	11351	50678
366	11383	50653
367	11415	50625
368	11446	50594
369	11477	50563
370	11508	50533
371	11539	50502
372	11570	50470
373	11601	50437
374	11632	50409
375	11664	50378
376	11696	50353
377	11728	50325
378	11760	50301
379	11792	50272
380	11824	50245
381	11855	50215
382	11886	50182
383	11917	50150
384	11948	50122
385	11981	50100
386	12013	50072
387	12045	50043
388	12081	50034
389	12113	50005
390	12144	49974
391	12176	49947
392	12207	49915
393	12237	49883
394	12268	49850
395	12299	49818
396	12331	49790
397	12362	49760
398	12393	49730
399	12425	49700
400	12455	49668
401	12487	49640
402	12519	49612
403	12551	49582
404	12582	49553
405	12614	49524
406	12645	49495
407	12676	49464
408	12708	49434
409	12740	49406
410	12771	49376
411	12802	49345
412	12833	49315
413	12866	49289
414	12897	49260
415	12929	49231
416	12962	49206
417	12994	49181
418	13025	49150
419	13057	49119
420	13092	49103
421	13124	49075
422	13155	49046
423	13186	49015
424	13217	48984
425	13250	48959
426	13282	48929
427	13312	48896
428	13344	48866
429	13374	48833
430	13405	48802
431	13437	48771
432	13468	48741
433	13499	48711
434	13531	48683
435	13563	48654
436	13595	48624
437	13625	48592
438	13657	48562
439	13689	48533
440	13720	48503
441	13751	48474
442	13783	48443
443	13814	48412
444	13846	48384
445	13878	48355
446	13909	48324
447	13940	48293
448	13971	48263
449	14004	48237
450	14036	48208
451	14069	48183
452	14103	48163
453	14136	48138
454	14168	48109
455	14199	48077
456	14230	48048
457	14261	48016
458	14292	47984
459	14323	47952
460	14354	47922
461	14385	47889
462	14416	47857
463	14447	47825
464	14478	47794
465	14509	47761
466	14540	47732
467	14572	47703
468	14603	47670
469	14634	47640
470	14659	47589
471	14690	47557
472	14721	47526
473	14753	47496
474	14784	47466
475	14816	47438
476	14849	47412
477	14883	47391
478	14915	47360
479	14945	47328
480	14977	47299
481	15008	47266
482	15038	47233
483	15070	47204
484	15102	47176
485	15140	47165
486	15172	47137
487	15204	47107
488	15236	47080
489	15268	47050
490	15299	47021
491	15331	46992
492	15364	46964
493	15395	46935
494	15427	46906
495	15458	46875
496	15490	46844
497	15521	46813
498	15553	46785
499	15585	46755
500	15616	46724
501	15647	46694
502	15679	46663
503	15710	46632
504	15742	46603
505	15773	46572
506	15806	46546
507	15837	46515
508	15868	46484
509	15900	46454
510	15931	46421
511	15963	46392
512	15994	46361
513	16025	46330
514	16057	46301
515	16088	46271
516	16123	46250
517	16155	46220
518	16186	46190
519	16218	46160
520	16250	46132
521	16286	46114
522	16323	46098
523	16356	46071
524	16387	46040
525	16419	46013
526	16450	45981
527	16482	45950
528	16512	45917
529	16544	45887
530	16576	45857
531	16608	45829
532	16639	45798
533	16671	45768
534	16702	45736
535	16733	45705
536	16764	45673
537	16796	45642
538	16827	45612
539	16858	45580
540	16890	45551
541	16921	45520
542	16953	45489
543	16984	45459
544	17015	45427
545	17046	45395
546	17076	45360
547	17107	45327
548	17138	45297
549	17169	45265
550	17201	45235
551	17232	45203
552	17263	45172
553	17294	45139
554	17325	45109
555	17356	45077
556	17387	45045
557	17418	45013
558	17450	44984
559	17482	44955
560	17514	44926
561	17546	44896
562	17578	44868
563	17610	44837
564	17640	44804
565	17674	44779
566	17703	44743
567	17732	44706
568	17762	44672
569	17792	44637
570	17822	44602
571	17851	44567
572	17880	44530
573	17910	44494
574	17939	44459
575	17969	44424
576	17998	44387
577	18027	44352
578	18057	44318
579	18088	44285
580	18117	44249
581	18150	44222
582	18180	44187
583	18209	44152
584	18239	44117
585	18270	44086
586	18302	44056
587	18332	44022
588	18361	43986
589	18391	43952
590	18420	43916
591	18449	43880
592	18478	43843
593	18508	43808
594	18538	43775
595	18567	43740
596	18598	43707
597	18628	43674
598	18658	43641
599	18689	43608
600	18719	43575
601	18749	43542
602	18779	43506
603	18809	43473
604	18838	43437
605	18867	43402
606	18897	43367
607	18926	43331
608	18955	43296
609	18985	43261
610	19015	43227
611	19044	43191
612	19073	43157
613	19103	43122
614	19132	43087
615	19165	43059
616	19195	43025
617	19224	42990
618	19254	42956
619	19284	42923
620	19314	42890
621	19346	42861
622	19377	42829
623	19406	42794
624	19437	42762
625	19466	42726
626	19495	42691
627	19525	42657
628	19555	42623
629	19585	42589
630	19615	42556
631	19644	42522
632	19674	42487
633	19703	42453
634	19733	42420
635	19764	42388
636	19794	42355
637	19825	42323
638	19856	42291
639	19886	42258
640	19917	42227
641	19947	42194
642	19977	42160
643	20006	42126
644	20037	42093
645	20067	42060
646	20096	42025
647	20127	41993
648	20156	41959
649	20187	41927
650	20217	41895
651	20247	41861
652	20277	41828
653	20307	41795
654	20338	41763
655	20368	41731
656	20399	41699
657	20429	41666
658	20459	41633
659	20489	41599
660	20519	41566
661	20549	41533
662	20579	41500
663	20609	41467
664	20640	41435
665	20670	41403
666	20700	41369
667	20730	41336
668	20760	41303
669	20789	41269
670	20819	41235
671	20849	41202
672	20879	41169
673	20909	41137
674	20941	41106
675	20972	41076
676	21003	41045
677	21034	41013
678	21064	40981
679	21094	40947
680	21124	40914
681	21153	40881
682	21183	40847
683	21220	40827
684	21249	40793
685	21280	40760
686	21309	40726
687	21339	40694
688	21369	40660
689	21398	40625
690	21428	40592
691	21457	40558
692	21487	40525
693	21517	40492
694	21547	40459
695	21577	40426
696	21610	40400
697	21643	40371
698	21674	40341
699	21704	40308
700	21735	40276
701	21765	40244
702	21795	40211
703	21825	40178
704	21854	40144
705	21884	40111
706	21914	40078
707	21944	40046
708	21975	40014
709	22005	39981
710	22036	39951
711	22066	39917
712	22097	39886
713	22127	39854
714	22157	39822
715	22187	39789
716	22217	39756
717	22247	39724
718	22278	39691
719	22307	39658
720	22337	39625
721	22367	39592
722	22396	39558
723	22426	39525
724	22456	39492
725	22485	39458
726	22515	39425
727	22545	39393
728	22575	39360
729	22606	39328
730	22636	39297
731	22668	39266
732	22698	39234
733	22728	39202
734	22758	39169
735	22788	39136
736	22818	39103
737	22848	39071
738	22878	39038
739	22907	39005
740	22938	38973
741	22968	38941
742	22998	38908
743	23028	38875
744	23058	38843
745	23087	38809
746	23117	38776
747	23147	38744
748	23177	38712
749	23208	38680
750	23239	38650
751	23271	38621
752	23302	38590
753	23335	38561
754	23366	38531
755	23397	38499
756	23427	38467
757	23457	38436
758	23487	38403
759	23517	38371
760	23547	38338
761	23578	38306
762	23608	38274
763	23638	38242
764	23669	38211
765	23699	38178
766	23729	38147
767	23759	38114
768	23789	38082
769	23819	38049
770	23851	38019
771	23883	37991
772	23916	37962
773	23949	37935
774	23982	37908
775	24013	37876
776	24044	37846
777	24074	37813
778	24104	37781
779	24134	37748
780	24164	37716
781	24194	37684
782	24224	37651
783	24256	37621
784	24286	37589
785	24316	37557
786	24347	37527
787	24377	37495
788	24408	37463
789	24439	37432
790	24470	37401
791	24500	37368
792	24529	37335
793	24563	37308
794	24592	37275
795	24623	37243
796	24652	37211
797	24683	37179
798	24713	37147
799	24743	37115
800	24774	37084
801	24804	37052
802	24834	37019
803	24866	36989
804	24897	36960
805	24927	36927
806	24958	36897
807	24988	36863
808	25018	36831
809	25047	36798
810	25078	36766
811	25108	36734
812	25139	36703
813	25171	36674
814	25201	36642
815	25230	36609
816	25268	36588
817	25299	36557
818	25330	36526
819	25359	36492
820	25388	36459
821	25418	36426
822	25447	36393
823	25478	36362
824	25508	36330
825	25538	36298
826	25571	36269
827	25602	36239
828	25632	36207
829	25662	36175
830	25692	36142
831	25726	36116
832	25757	36084
833	25786	36051
834	25815	36018
835	25845	35986
836	25876	35954
837	25905	35921
838	25936	35890
839	25966	35858
840	25996	35826
841	26026	35794
842	26056	35762
843	26086	35729
844	26115	35696
845	26145	35663
846	26175	35631
847	26205	35599
848	26235	35567
849	26265	35535
850	26296	35504
851	26326	35472
852	26356	35440
853	26386	35408
854	26416	35375
855	26446	35343
856	26476	35312
857	26506	35280
858	26536	35247
859	26566	35216
860	26599	35187
861	26630	35157
862	26662	35127
863	26696	35100
864	26729	35072
865	26765	35048
866	26803	35027
867	26842	35006
868	26877	34980
869	26911	34954
870	26946	34927
871	26978	34898
872	27009	34867
873	27041	34838
874	27074	34810
875	27109	34783
876	27142	34756
877	27175	34727
878	27206	34696
879	27236	34665
880	27267	34634
881	27306	34613
882	27341	34587
883	27376	34560
884	27410	34534
885	27442	34504
886	27473	34473
887	27504	34442
888	27534	34410
889	27567	34381
890	27599	34351
891	27634	34326
892	27666	34296
893	27700	34268
894	27734	34241
895	27767	34214
896	27801	34186
897	27833	34156
898	27867	34129
899	27901	34102
900	27933	34072
901	27965	34042
902	27999	34015
903	28034	33988
904	28068	33961
905	28101	33933
906	28133	33902
907	28164	33872
908	28196	33841
909	28226	33810
910	28257	33778
911	28288	33747
912	28325	33723
913	28355	33691
914	28385	33659
915	28415	33627
916	28447	33596
917	28481	33569
918	28516	33542
919	28553	33519
920	28586	33490
921	28619	33462
922	28652	33432
923	28683	33402
924	28724	33382
925	28764	33361
926	28796	33332
927	28830	33304
928	28863	33275
929	28895	33244
930	28925	33213
931	28957	33182
932	28989	33152
933	29023	33124
934	29055	33095
935	29088	33066
936	29121	33037
937	29152	33006
938	29183	32974
939	29213	32943
940	29243	32910
941	29275	32880
942	29308	32851
943	29344	32826
