iter	Passed	Remaining
0	62	125109
1	69	69555
2	76	50956
3	84	42006
4	91	36592
5	98	32884
6	106	30254
7	113	28228
8	120	26642
9	127	25380
10	134	24294
11	141	23498
12	148	22753
13	155	22089
14	162	21501
15	169	20970
16	175	20517
17	182	20100
18	189	19778
19	196	19437
20	203	19146
21	210	18928
22	217	18655
23	223	18418
24	230	18204
25	237	17995
26	243	17802
27	250	17650
28	257	17497
29	264	17396
30	272	17282
31	278	17151
32	285	17037
33	292	16914
34	299	16808
35	306	16712
36	313	16612
37	320	16534
38	327	16447
39	334	16378
40	341	16312
41	348	16228
42	355	16167
43	361	16085
44	368	16013
45	375	15960
46	383	15933
47	390	15869
48	396	15805
49	403	15744
50	410	15680
51	417	15621
52	423	15561
53	430	15496
54	436	15449
55	443	15395
56	450	15359
57	458	15342
58	464	15288
59	471	15233
60	477	15181
61	484	15135
62	490	15089
63	497	15040
64	503	15001
65	510	14970
66	517	14936
67	524	14896
68	530	14850
69	537	14817
70	543	14776
71	550	14739
72	557	14703
73	563	14666
74	570	14631
75	576	14604
76	583	14571
77	590	14546
78	597	14517
79	603	14490
80	610	14457
81	616	14423
82	623	14392
83	629	14365
84	636	14343
85	643	14315
86	649	14288
87	657	14293
88	664	14265
89	670	14236
90	677	14216
91	684	14188
92	690	14159
93	697	14136
94	704	14123
95	710	14100
96	717	14078
97	724	14053
98	731	14037
99	738	14022
100	744	14000
101	751	13979
102	757	13959
103	764	13937
104	771	13922
105	778	13902
106	784	13880
107	791	13865
108	798	13844
109	804	13826
110	811	13805
111	817	13785
112	824	13766
113	831	13749
114	837	13734
115	844	13713
116	850	13692
117	857	13671
118	863	13656
119	870	13636
120	877	13624
121	884	13608
122	890	13591
123	898	13588
124	905	13576
125	912	13569
126	919	13567
127	926	13556
128	934	13550
129	942	13556
130	949	13552
131	962	13621
132	971	13636
133	978	13628
134	985	13616
135	992	13605
136	999	13589
137	1009	13624
138	1019	13643
139	1027	13645
140	1034	13637
141	1041	13628
142	1048	13620
143	1055	13604
144	1062	13594
145	1070	13589
146	1077	13578
147	1084	13568
148	1091	13560
149	1098	13544
150	1104	13526
151	1111	13511
152	1117	13493
153	1124	13478
154	1131	13465
155	1138	13452
156	1144	13434
157	1151	13423
158	1158	13409
159	1164	13390
160	1170	13374
161	1177	13357
162	1184	13344
163	1190	13330
164	1197	13316
165	1204	13305
166	1211	13292
167	1217	13281
168	1224	13266
169	1231	13252
170	1237	13235
171	1244	13222
172	1250	13208
173	1257	13198
174	1264	13185
175	1270	13171
176	1277	13157
177	1284	13146
178	1291	13134
179	1297	13121
180	1304	13107
181	1310	13093
182	1317	13080
183	1323	13067
184	1330	13052
185	1337	13040
186	1343	13028
187	1350	13019
188	1357	13008
189	1364	12997
190	1371	12986
191	1378	12976
192	1385	12967
193	1391	12958
194	1398	12947
195	1406	12941
196	1413	12932
197	1419	12919
198	1426	12909
199	1433	12901
200	1440	12891
201	1447	12887
