iter	RMSE	AverageGain:top=10
0	0.1993526788	0.2417014937
1	0.1981656088	0.2662723031
2	0.197027871	0.2712269833
3	0.1959351191	0.2792550236
4	0.1950200743	0.2810611191
5	0.1941040657	0.2838291468
6	0.1932547035	0.289513633
7	0.1924900276	0.3016785385
8	0.1917304966	0.302171251
9	0.1910365277	0.3007957138
10	0.190348835	0.3019074367
11	0.1896597163	0.3035646812
12	0.1890955426	0.3048510351
13	0.1885038617	0.3043498657
14	0.18797769	0.3006958974
15	0.1874617142	0.3036903972
16	0.1869895397	0.303175742
17	0.1864958532	0.3045344053
18	0.1859061863	0.3071539729
19	0.1854823399	0.3068165506
20	0.1850562004	0.3036599782
21	0.1846595468	0.3042057987
22	0.1842529916	0.3063350894
23	0.1839303339	0.3068327118
24	0.1835316664	0.3062778343
25	0.183172205	0.3080251392
26	0.1828553172	0.3088024764
27	0.1825070916	0.3127697835
28	0.1822651355	0.3133014652
29	0.1820123168	0.3133573412
30	0.1817094662	0.3146733006
31	0.1814714569	0.3149190499
32	0.1810903837	0.3163910781
33	0.1808710489	0.3160802494
34	0.1806157031	0.317774673
35	0.1803911547	0.3186871625
36	0.1801641811	0.3210001899
37	0.1799404979	0.3204471413
38	0.1797069942	0.3240612552
39	0.1795172991	0.3239198952
40	0.1792970874	0.3231135795
41	0.1790897045	0.3277102529
42	0.1788864034	0.3290886879
43	0.1787020201	0.326402987
44	0.178517045	0.3272206994
45	0.1782870577	0.3258531996
46	0.1780787694	0.327190201
47	0.1778871359	0.3277693544
48	0.1776743904	0.3282180485
49	0.1774864094	0.3302810269
50	0.1773193392	0.3306070989
51	0.177157314	0.3316103787
52	0.1769965692	0.3311050555
53	0.1768496736	0.3323497956
54	0.1767279116	0.3314885902
55	0.1765173655	0.3314146261
56	0.1764023956	0.3317379477
57	0.1761682238	0.3363503864
58	0.1760660688	0.3349192501
59	0.1759039453	0.3380760163
60	0.1757999159	0.3384184887
61	0.1756735858	0.3376297372
62	0.1755555875	0.3393731139
63	0.1753544733	0.3392475887
64	0.1752471011	0.3393322034
65	0.1751161146	0.3395009098
66	0.1750034621	0.3389107689
67	0.174900946	0.3398170002
68	0.1747282044	0.3405827528
69	0.1745754704	0.3409079154
70	0.1744642828	0.3418321597
71	0.1743008262	0.3425381431
72	0.1741727577	0.3435541371
73	0.1740204354	0.3435432452
74	0.1738179497	0.3447288585
75	0.1737405578	0.3450730878
76	0.1735637793	0.3440383019
77	0.1734451247	0.3449363175
78	0.173311588	0.3448019748
79	0.1732415869	0.3454513536
80	0.1731395091	0.3450358865
81	0.1730321859	0.3448510227
82	0.1729483571	0.3446275895
83	0.172851873	0.345733827
84	0.1727454865	0.3452846784
85	0.1726462955	0.3451223753
86	0.1725112149	0.3450683452
87	0.172414244	0.3453027091
88	0.1722712757	0.346264214
89	0.1721416775	0.3477427823
90	0.172000114	0.3479384042
91	0.1718894143	0.3477424398
92	0.1717929152	0.3485148983
93	0.1717398831	0.3482313673
94	0.1716495891	0.3478973293
95	0.1715554327	0.3478973293
96	0.1714702968	0.3468409137
97	0.1713783985	0.3498454405
98	0.1712703726	0.3504086676
99	0.1711786105	0.3512889651
100	0.1710848298	0.3511289121
101	0.1709802895	0.3531419989
102	0.1708951708	0.3542216296
103	0.1707690356	0.3543324799
104	0.1706189531	0.3535265623
105	0.1705202854	0.3542893607
106	0.1704395998	0.354164544
107	0.1702869343	0.3546115221
108	0.1701993382	0.3536120531
109	0.1701256649	0.3544370367
110	0.1700545484	0.3557545407
111	0.1700000311	0.3550864646
112	0.1699349323	0.3565994513
113	0.1698338219	0.3574310045
114	0.1697719461	0.3573968478
115	0.1696690554	0.3580679386
116	0.169581785	0.3595424147
117	0.169483623	0.3594064984
118	0.1694097054	0.3589117114
119	0.1693506026	0.3595686888
120	0.1692563763	0.3596209992
121	0.1691217258	0.3585833466
122	0.1689882377	0.3580398544
