iter	Passed	Remaining
0	8	17462
1	17	17337
2	25	16908
3	34	17217
4	42	16992
5	50	16808
6	58	16707
7	66	16548
8	74	16432
9	82	16322
10	90	16332
11	98	16272
12	107	16469
13	116	16480
14	124	16415
15	131	16271
16	138	16143
17	145	16040
18	153	16008
19	160	15935
20	169	15976
21	177	15972
22	185	15966
23	194	15975
24	201	15940
25	209	15905
26	217	15880
27	225	15855
28	237	16167
29	249	16359
30	257	16344
31	267	16476
32	276	16504
33	284	16425
34	294	16530
35	303	16530
36	315	16759
37	324	16765
38	333	16761
39	340	16684
40	348	16643
41	355	16564
42	362	16520
43	370	16468
44	377	16384
45	385	16372
46	393	16338
47	400	16281
48	407	16241
49	416	16249
50	423	16195
51	431	16161
52	438	16112
53	445	16049
54	452	15988
55	459	15937
56	466	15907
57	473	15867
58	480	15809
59	487	15750
60	494	15709
61	501	15691
62	510	15685
63	517	15646
64	524	15613
65	531	15576
66	538	15539
67	545	15509
68	554	15514
69	562	15500
70	569	15476
71	577	15467
72	585	15446
73	592	15424
74	600	15401
75	607	15383
76	615	15373
77	623	15360
78	630	15337
79	637	15300
80	644	15268
81	651	15234
82	658	15214
83	666	15199
84	673	15183
85	681	15168
86	689	15155
87	697	15146
88	705	15144
89	712	15117
90	719	15085
91	725	15056
92	732	15027
93	739	14995
94	746	14964
95	754	14960
96	761	14936
97	768	14915
98	775	14887
99	782	14862
100	788	14833
101	795	14807
102	802	14781
103	809	14758
104	816	14742
105	824	14733
106	831	14718
107	839	14705
108	846	14687
109	853	14664
110	860	14648
111	867	14629
112	874	14611
113	882	14594
114	890	14600
115	897	14575
116	904	14554
117	911	14531
118	917	14507
119	924	14481
120	931	14462
121	938	14453
122	946	14438
123	953	14430
124	962	14439
125	971	14443
126	978	14429
127	986	14426
128	994	14422
129	1001	14410
130	1009	14404
131	1017	14396
132	1024	14383
133	1031	14365
134	1038	14351
135	1045	14335
136	1052	14319
137	1060	14312
138	1067	14297
139	1074	14281
140	1081	14262
141	1088	14245
142	1095	14225
143	1102	14207
144	1109	14189
145	1116	14172
146	1122	14153
147	1129	14131
148	1136	14122
149	1144	14109
150	1150	14089
151	1157	14071
152	1164	14055
153	1171	14039
154	1178	14025
155	1185	14009
156	1191	13989
157	1199	13982
158	1206	13971
159	1213	13959
160	1221	13953
161	1229	13947
162	1237	13946
163	1245	13946
164	1253	13943
165	1262	13950
166	1271	13960
167	1280	13960
168	1287	13954
169	1295	13947
170	1303	13941
171	1311	13936
172	1319	13936
173	1327	13934
174	1336	13942
175	1345	13939
176	1353	13935
177	1361	13931
178	1370	13947
179	1379	13949
180	1387	13945
181	1396	13949
182	1403	13938
183	1412	13936
184	1420	13935
185	1428	13934
186	1436	13930
187	1443	13916
188	1450	13901
189	1458	13892
190	1465	13881
191	1472	13866
192	1479	13851
193	1486	13834
194	1492	13815
195	1499	13802
196	1506	13785
197	1513	13772
198	1520	13760
199	1527	13745
200	1534	13732
201	1541	13720
202	1548	13711
203	1556	13702
204	1563	13691
205	1570	13680
206	1578	13668
207	1585	13660
