iter	AverageGain:top=10
0	0.2034482759
1	0.2290229885
2	0.2603448276
3	0.2784482759
4	0.2793103448
5	0.2804597701
6	0.2795977011
7	0.2844827586
8	0.2859195402
9	0.2908045977
10	0.2876436782
11	0.2925287356
12	0.2945402299
13	0.2948275862
14	0.2945402299
15	0.2951149425
16	0.2951149425
17	0.2994252874
18	0.2968390805
19	0.2965517241
20	0.3
21	0.3014367816
22	0.3034482759
23	0.307183908
24	0.307183908
25	0.3097701149
26	0.3112068966
27	0.3083333333
28	0.3100574713
29	0.3129310345
30	0.3149425287
31	0.3172413793
32	0.3181034483
33	0.316954023
34	0.3158045977
35	0.3201149425
36	0.3209770115
37	0.3201149425
38	0.3218390805
39	0.3235632184
40	0.3244252874
41	0.3247126437
42	0.3255747126
43	0.325
44	0.3247126437
45	0.3247126437
46	0.3247126437
47	0.325
48	0.3270114943
49	0.3261494253
50	0.3264367816
51	0.3267241379
52	0.3284482759
53	0.3304597701
54	0.3281609195
55	0.333045977
56	0.3333333333
57	0.3336206897
58	0.333045977
59	0.3336206897
60	0.3341954023
61	0.3376436782
62	0.3385057471
63	0.3390804598
64	0.3393678161
65	0.3408045977
66	0.342816092
67	0.341954023
68	0.3436781609
69	0.3439655172
70	0.3448275862
71	0.3425287356
72	0.3451149425
73	0.3451149425
74	0.3462643678
75	0.3459770115
76	0.3442528736
77	0.3454022989
78	0.3459770115
79	0.3474137931
80	0.3477011494
81	0.3479885057
82	0.349137931
83	0.3488505747
84	0.3494252874
85	0.350862069
86	0.3511494253
87	0.350862069
88	0.350862069
89	0.3505747126
90	0.3525862069
91	0.3534482759
92	0.3540229885
93	0.3554597701
94	0.3563218391
95	0.3551724138
96	0.3566091954
97	0.3563218391
98	0.3566091954
99	0.3568965517
100	0.3566091954
101	0.3563218391
102	0.3591954023
103	0.3574712644
104	0.3583333333
105	0.3603448276
106	0.3614942529
107	0.3623563218
108	0.3600574713
109	0.3600574713
110	0.3612068966
111	0.3612068966
112	0.3629310345
113	0.3623563218
114	0.3632183908
115	0.3629310345
116	0.3643678161
117	0.3646551724
118	0.3640804598
119	0.3643678161
120	0.3646551724
121	0.3646551724
122	0.3646551724
123	0.3649425287
124	0.3643678161
125	0.3643678161
126	0.3646551724
127	0.366091954
128	0.366954023
129	0.366954023
130	0.366954023
131	0.3672413793
132	0.3675287356
133	0.367816092
134	0.3675287356
135	0.3666666667
136	0.3663793103
137	0.366091954
138	0.366091954
139	0.366091954
140	0.366091954
141	0.3672413793
142	0.3692528736
143	0.3692528736
144	0.3692528736
145	0.3698275862
146	0.3695402299
147	0.3698275862
148	0.3692528736
149	0.3698275862
150	0.3701149425
151	0.3706896552
152	0.3709770115
153	0.3709770115
154	0.3715517241
155	0.3718390805
156	0.3738505747
157	0.3729885057
158	0.3718390805
159	0.3724137931
160	0.3729885057
161	0.3735632184
162	0.374137931
163	0.3744252874
164	0.3744252874
165	0.3747126437
166	0.3761494253
167	0.3764367816
168	0.375
169	0.3752873563
170	0.374137931
171	0.375862069
172	0.3764367816
173	0.375862069
174	0.3752873563
175	0.3764367816
176	0.3775862069
177	0.3767241379
178	0.3770114943
179	0.3770114943
180	0.3772988506
181	0.3775862069
182	0.3770114943
183	0.3772988506
184	0.3781609195
185	0.3784482759
186	0.3784482759
187	0.3787356322
188	0.3787356322
189	0.3790229885
190	0.3784482759
191	0.3804597701
192	0.3810344828
193	0.3807471264
194	0.3807471264
195	0.3807471264
196	0.3816091954
197	0.3813218391
198	0.3818965517
199	0.383045977
200	0.383045977
201	0.3824712644
202	0.3827586207
203	0.3818965517
204	0.3841954023
205	0.383908046
206	0.3836206897
207	0.3824712644
208	0.383908046
209	0.383908046
210	0.3836206897
211	0.3853448276
212	0.3850574713
213	0.383908046
214	0.383908046
215	0.3853448276
216	0.3850574713
217	0.3850574713
218	0.3856321839
219	0.3864942529
220	0.3870689655
221	0.3882183908
222	0.3870689655
223	0.3870689655
224	0.3873563218
225	0.3882183908
226	0.3867816092
227	0.3876436782
228	0.3882183908
229	0.3902298851
230	0.3899425287
231	0.3893678161
232	0.3905172414
233	0.391091954
234	0.3902298851
235	0.3908045977
