iter	Passed	Remaining
0	16	33316
1	32	32192
2	47	31455
3	61	30614
4	73	29486
5	87	29098
6	100	28559
7	113	28186
8	125	27743
9	139	27730
10	152	27585
11	165	27451
12	178	27300
13	190	27066
14	202	26844
15	215	26714
16	227	26550
17	240	26471
18	252	26347
19	264	26219
20	277	26173
21	290	26146
22	303	26107
23	316	26083
24	329	26018
25	341	25935
26	354	25886
27	369	26023
28	383	26068
29	398	26154
30	411	26159
31	426	26218
32	441	26341
33	457	26476
34	475	26684
35	490	26736
36	506	26892
37	523	27034
38	538	27100
39	556	27268
40	575	27517
41	600	28003
42	623	28380
43	646	28728
44	668	29053
45	693	29440
46	716	29782
47	737	29974
48	755	30097
49	773	30167
50	790	30191
51	806	30203
52	825	30310
53	842	30348
54	861	30465
55	879	30534
56	897	30603
57	915	30637
58	932	30666
59	950	30737
60	972	30918
61	993	31050
62	1018	31304
63	1038	31400
64	1060	31565
65	1083	31738
66	1102	31797
67	1117	31759
68	1133	31731
69	1151	31740
70	1166	31687
71	1184	31716
72	1201	31722
73	1219	31729
74	1255	32230
75	1271	32200
76	1287	32145
77	1303	32131
78	1321	32122
79	1337	32090
80	1352	32051
81	1369	32036
82	1386	32019
83	1403	32015
84	1419	31986
85	1436	31971
86	1454	31971
87	1477	32091
88	1495	32106
89	1514	32139
90	1531	32123
91	1548	32111
92	1565	32109
93	1582	32093
94	1599	32073
95	1616	32067
96	1633	32040
97	1648	31993
98	1668	32042
99	1686	32042
100	1703	32026
101	1721	32029
102	1741	32068
103	1757	32047
104	1778	32090
105	1795	32090
106	1814	32100
107	1831	32083
108	1847	32059
109	1865	32058
110	1883	32057
111	1904	32112
112	1926	32175
113	1945	32181
114	1962	32164
115	1982	32191
116	2002	32228
117	2020	32220
118	2036	32183
119	2052	32156
120	2070	32157
121	2087	32135
122	2103	32097
123	2118	32048
124	2134	32015
125	2151	31992
126	2168	31978
127	2185	31967
128	2200	31914
129	2215	31866
130	2235	31893
131	2253	31886
132	2268	31846
133	2284	31806
134	2299	31761
135	2314	31727
136	2330	31695
137	2346	31660
138	2365	31667
139	2389	31745
140	2406	31725
141	2421	31679
142	2436	31640
143	2452	31614
144	2468	31584
145	2486	31581
146	2502	31544
147	2518	31516
148	2533	31471
149	2547	31413
150	2560	31353
151	2574	31302
152	2590	31273
153	2605	31232
154	2619	31181
155	2635	31149
156	2649	31101
157	2662	31039
158	2675	30980
159	2688	30921
160	2703	30884
161	2717	30828
162	2730	30768
163	2743	30716
164	2757	30665
165	2771	30616
166	2784	30566
167	2798	30519
168	2813	30479
169	2828	30450
170	2843	30415
171	2861	30406
172	2876	30373
173	2892	30355
174	2908	30334
175	2926	30326
176	2943	30313
177	2958	30279
178	2977	30289
179	2998	30320
180	3016	30316
181	3035	30322
182	3051	30295
183	3066	30268
184	3081	30230
185	3095	30189
186	3110	30155
187	3123	30101
188	3136	30056
189	3150	30008
190	3162	29956
191	3176	29913
192	3190	29874
193	3205	29837
194	3219	29805
195	3234	29770
196	3249	29737
197	3262	29694
198	3275	29648
199	3289	29603
200	3302	29553
201	3314	29502
202	3327	29454
203	3340	29406
204	3354	29368
205	3368	29331
206	3382	29301
207	3397	29267
208	3409	29218
209	3423	29182
210	3437	29148
211	3451	29105
212	3464	29062
213	3478	29032
214	3493	29001
215	3506	28957
216	3519	28915
217	3531	28868
218	3545	28829
219	3557	28784
220	3570	28738
221	3583	28697
222	3596	28661
223	3610	28622
224	3623	28586
225	3636	28546
226	3651	28521
227	3666	28498
228	3680	28465
229	3693	28426
230	3706	28382
231	3719	28344
232	3732	28304
233	3745	28265
234	3757	28220
235	3769	28176
236	3782	28134
237	3794	28090
238	3807	28052
239	3819	28011
240	3831	27968
241	3844	27928
242	3857	27889
243	3870	27851
244	3882	27814
245	3895	27776
246	3908	27735
247	3920	27696
248	3933	27658
249	3945	27619
250	3958	27581
251	3970	27544
252	3987	27531
253	4000	27496
254	4012	27458
255	4025	27422
256	4038	27392
257	4054	27372
258	4068	27350
259	4083	27325
260	4096	27294
261	4109	27263
262	4124	27237
263	4138	27212
264	4152	27184
265	4165	27154
266	4177	27116
267	4190	27082
268	4204	27055
269	4218	27028
270	4231	26994
271	4243	26957
272	4257	26932
273	4270	26899
274	4283	26868
275	4296	26836
276	4309	26805
277	4322	26774
278	4335	26743
279	4348	26714
280	4361	26681
281	4374	26651
282	4388	26624
283	4402	26600
284	4415	26572
285	4429	26544
286	4442	26517
287	4455	26486
288	4468	26453
289	4480	26419
290	4493	26391
291	4506	26362
292	4519	26332
293	4533	26305
294	4546	26277
295	4560	26256
296	4577	26245
297	4593	26232
298	4609	26223
299	4625	26213
300	4640	26193
301	4654	26172
302	4668	26148
303	4682	26123
304	4696	26099
305	4710	26075
306	4723	26048
307	4737	26023
308	4750	25996
309	4763	25970
310	4776	25941
311	4790	25916
312	4803	25890
313	4816	25864
314	4831	25843
315	4845	25821
316	4859	25799
317	4874	25780
318	4887	25754
319	4901	25731
320	4914	25707
321	4928	25684
322	4943	25663
323	4956	25639
324	4971	25619
325	4990	25626
326	5004	25602
327	5017	25579
328	5031	25556
329	5046	25536
330	5059	25510
331	5072	25487
332	5086	25464
333	5100	25440
334	5114	25418
335	5128	25395
336	5141	25371
337	5155	25352
338	5171	25339
339	5186	25322
340	5200	25299
341	5214	25280
342	5228	25260
343	5244	25248
344	5259	25232
345	5274	25215
346	5300	25249
347	5316	25238
348	5333	25229
349	5348	25215
350	5364	25203
351	5380	25189
352	5395	25172
353	5411	25163
354	5425	25142
355	5439	25120
356	5454	25103
357	5472	25098
358	5487	25083
359	5503	25069
360	5518	25056
361	5535	25046
362	5551	25034
363	5568	25025
364	5583	25012
365	5599	24997
366	5613	24975
367	5628	24961
368	5643	24945
