iter	AverageGain:top=10
0	0.2149425287
1	0.2482758621
2	0.2747126437
3	0.2824712644
4	0.2807471264
5	0.2801724138
6	0.2876436782
7	0.2873563218
8	0.2899425287
9	0.2899425287
10	0.2893678161
11	0.2867816092
12	0.2913793103
13	0.2925287356
14	0.292816092
15	0.2925287356
16	0.2939655172
17	0.2925287356
18	0.2933908046
19	0.2954022989
20	0.2951149425
21	0.2979885057
22	0.2979885057
23	0.2982758621
24	0.3005747126
25	0.3002873563
26	0.2997126437
27	0.3005747126
28	0.3014367816
29	0.2985632184
30	0.2985632184
31	0.3014367816
32	0.3020114943
33	0.3022988506
34	0.3037356322
35	0.3043103448
36	0.3011494253
37	0.3031609195
38	0.3040229885
39	0.3063218391
40	0.3054597701
41	0.3068965517
42	0.3063218391
43	0.3074712644
44	0.307183908
45	0.3083333333
46	0.3086206897
47	0.307183908
48	0.3063218391
49	0.307183908
50	0.3057471264
51	0.3066091954
52	0.3063218391
53	0.3068965517
54	0.3066091954
55	0.307183908
56	0.3060344828
57	0.3066091954
58	0.3060344828
59	0.3060344828
60	0.3066091954
61	0.3066091954
62	0.308045977
63	0.308045977
64	0.308045977
65	0.3077586207
66	0.3083333333
67	0.3086206897
68	0.3077586207
69	0.308908046
70	0.3091954023
71	0.3091954023
72	0.3091954023
73	0.308908046
74	0.3086206897
75	0.3083333333
76	0.3091954023
77	0.3094827586
78	0.3086206897
79	0.3091954023
80	0.3083333333
81	0.3094827586
82	0.3091954023
83	0.3094827586
84	0.3097701149
85	0.3100574713
86	0.3103448276
87	0.3106321839
88	0.3109195402
89	0.3114942529
90	0.3106321839
91	0.3114942529
92	0.3123563218
93	0.3146551724
94	0.3140804598
95	0.3152298851
96	0.3149425287
97	0.3149425287
98	0.3155172414
99	0.3155172414
100	0.3149425287
101	0.3140804598
102	0.3143678161
103	0.3143678161
104	0.3135057471
105	0.3140804598
106	0.3137931034
107	0.3143678161
108	0.3152298851
109	0.3155172414
110	0.3163793103
111	0.317816092
112	0.316954023
113	0.3172413793
114	0.3175287356
115	0.3172413793
116	0.3172413793
117	0.3186781609
118	0.3186781609
119	0.317816092
120	0.317816092
