iter	Passed	Remaining
0	64	129040
1	139	139288
2	200	133520
3	260	129919
4	319	127657
5	381	126658
6	443	126237
7	510	127195
8	577	127813
9	647	128788
10	718	129965
11	790	130878
12	866	132457
13	934	132569
14	1003	132770
15	1072	132929
16	1142	133303
17	1210	133242
18	1277	133199
19	1351	133833
20	1425	134341
21	1495	134476
22	1573	135293
23	1646	135578
24	1717	135698
25	1787	135735
26	1860	135969
27	1940	136661
28	2008	136523
29	2079	136541
30	2149	136508
31	2216	136315
32	2286	136271
33	2360	136488
34	2439	136945
35	2536	138372
36	2613	138648
37	2692	139006
38	2761	138870
39	2836	138995
40	2919	139507
41	2988	139341
42	3059	139224
43	3132	139254
44	3201	139080
45	3272	139003
46	3343	138934
47	3412	138775
48	3479	138551
49	3549	138426
50	3617	138237
51	3688	138172
52	3759	138090
53	3827	137944
54	3899	137885
55	3964	137636
56	4032	137467
57	4102	137348
58	4171	137224
59	4245	137276
60	4317	137251
61	4385	137085
62	4449	136817
63	4517	136648
64	4582	136414
65	4643	136074
66	4702	135674
67	4762	135309
68	4826	135068
69	4887	134753
70	4949	134460
71	5011	134187
72	5118	135111
73	5178	134787
74	5238	134448
75	5295	134066
76	5353	133704
77	5413	133397
78	5472	133076
79	5537	132895
80	5599	132666
81	5658	132346
82	5717	132060
83	5775	131747
84	5835	131470
85	5894	131191
86	5953	130919
87	6012	130644
88	6071	130371
89	6135	130203
90	6198	130029
91	6257	129766
92	6316	129512
93	6374	129258
94	6433	129005
95	6496	128839
96	6558	128674
97	6623	128550
98	6688	128434
99	6754	128338
100	6825	128335
101	6889	128199
102	6950	128019
103	7011	127829
104	7073	127666
105	7136	127519
106	7200	127396
107	7263	127248
108	7324	127077
109	7386	126911
110	7449	126775
111	7513	126654
112	7574	126494
113	7636	126331
114	7699	126209
115	7764	126105
116	7831	126033
117	7897	125951
118	7962	125861
119	8028	125784
120	8095	125719
121	8164	125684
122	8239	125739
123	8305	125656
124	8373	125601
125	8436	125473
126	8499	125348
127	8564	125253
128	8625	125103
129	8691	125029
130	8755	124919
131	8823	124872
132	8890	124805
133	8953	124686
134	9020	124610
135	9085	124524
136	9151	124450
137	9221	124425
138	9285	124321
139	9347	124189
140	9410	124065
141	9476	123994
142	9540	123896
143	9600	123740
144	9661	123601
145	9721	123449
146	9780	123286
147	9840	123133
148	9900	122988
149	9959	122830
150	10018	122677
151	10077	122518
152	10137	122376
153	10201	122285
154	10263	122164
155	10324	122037
156	10383	121888
157	10443	121748
158	10502	121599
159	10560	121448
160	10619	121296
161	10679	121160
162	10738	121021
163	10799	120907
164	10859	120773
165	10920	120652
166	10981	120528
167	11039	120380
168	11099	120260
169	11159	120126
170	11220	120017
171	11279	119878
172	11342	119788
173	11404	119681
174	11463	119549
175	11522	119416
176	11581	119281
177	11639	119143
178	11699	119022
179	11756	118875
180	11817	118759
181	11875	118627
182	11934	118495
183	11993	118366
184	12055	118272
185	12117	118177
186	12178	118075
187	12242	117995
188	12304	117903
189	12363	117783
190	12423	117663
191	12484	117559
192	12547	117482
193	12618	117473
194	12682	117390
195	12742	117284
196	12806	117212
197	12867	117110
198	12928	117003
199	12987	116885
200	13045	116761
201	13104	116646
202	13164	116530
203	13222	116412
204	13283	116315
205	13342	116193
206	13401	116077
207	13459	115955
208	13518	115848
209	13577	115729
210	13638	115640
211	13704	115582
212	13771	115541
213	13837	115486
214	13901	115417
215	13963	115327
216	14025	115240
217	14088	115165
218	14152	115097
219	14218	115040
220	14287	115012
221	14351	114941
222	14412	114848
223	14477	114783
224	14538	114695
225	14600	114606
226	14663	114528
227	14728	114466
228	14791	114393
229	14858	114348
230	14924	114293
231	14993	114258
232	15055	114176
233	15119	114104
234	15182	114031
235	15244	113948
236	15310	113890
237	15374	113821
238	15436	113739
239	15500	113669
240	15561	113580
241	15623	113494
242	15685	113411
243	15748	113334
244	15810	113255
245	15873	113179
246	15935	113100
247	15999	113029
248	16070	113012
249	16138	112966
250	16210	112957
251	16278	112915
252	16345	112864
253	16405	112771
254	16467	112689
255	16530	112615
256	16591	112528
257	16654	112449
258	16718	112380
259	16784	112328
260	16853	112290
261	16918	112232
262	16980	112146
263	17042	112070
264	17105	111991
265	17168	111916
266	17234	111864
267	17301	111816
268	17367	111759
269	17429	111680
270	17492	111602
271	17555	111528
272	17617	111450
273	17681	111377
274	17745	111310
275	17809	111241
276	17868	111146
277	17931	111071
278	17991	110980
279	18050	110881
280	18110	110790
281	18169	110689
282	18229	110597
283	18287	110498
284	18352	110435
285	18416	110372
286	18479	110300
287	18542	110224
288	18601	110126
289	18660	110029
290	18719	109935
291	18780	109855
292	18840	109766
293	18899	109666
294	18958	109571
295	19016	109475
296	19076	109384
297	19136	109295
298	19197	109213
299	19257	109123
300	19315	109028
301	19374	108935
302	19434	108846
303	19494	108760
304	19557	108689
305	19618	108604
306	19680	108531
307	19740	108446
308	19801	108363
309	19860	108274
310	19920	108185
311	19978	108089
312	20037	107998
313	20097	107912
314	20157	107826
315	20218	107746
316	20276	107653
317	20336	107563
318	20398	107491
319	20457	107403
320	20516	107313
321	20576	107229
322	20635	107136
323	20694	107051
324	20758	106986
325	20837	107001
326	20911	106985
327	20970	106899
328	21029	106811
329	21089	106725
330	21149	106640
331	21207	106550
332	21266	106461
333	21327	106379
334	21386	106292
335	21450	106231
336	21509	106144
337	21569	106058
338	21627	105969
339	21686	105882
340	21745	105795
341	21804	105707
342	21864	105624
343	21925	105547
344	21985	105468
345	22048	105399
346	22109	105323
347	22168	105234
348	22228	105154
349	22286	105063
350	22344	104976
351	22404	104891
352	22467	104825
353	22526	104742
354	22585	104658
355	22644	104570
356	22707	104503
357	22767	104425
358	22828	104351
359	22892	104287
360	22964	104260
361	23023	104176
362	23083	104096
363	23145	104026
364	23208	103963
365	23269	103887
366	23328	103802
367	23386	103713
368	23448	103641
369	23508	103563
370	23567	103481
371	23624	103390
372	23683	103305
373	23743	103225
374	23804	103151
375	23866	103084
376	23926	103005
