iter	MultiClass
0	0.9834059697
1	0.9009791551
2	0.826700355
3	0.760993597
4	0.7053914599
5	0.6619062022
6	0.6200592823
7	0.5838682139
8	0.5526547469
9	0.5245542976
10	0.4996411743
11	0.4759215389
12	0.4557500693
13	0.4378384079
14	0.4198727296
15	0.4040864776
16	0.3913233991
17	0.379517184
18	0.3683878692
19	0.3593910723
20	0.3500232339
21	0.3405760665
22	0.3316976065
23	0.3244819738
24	0.317444522
25	0.3105710892
26	0.304626157
27	0.2994779378
28	0.2948511965
29	0.2908954801
30	0.2874949372
31	0.2841152228
32	0.2805318119
33	0.2777706096
34	0.2742001928
35	0.2717708934
36	0.2692606744
37	0.2669758133
38	0.2650695521
39	0.2632688757
40	0.2610300877
41	0.2593290237
42	0.2573569425
43	0.2552997917
44	0.2534235722
45	0.252039265
46	0.2498988522
47	0.248925604
48	0.2475866821
49	0.2457853645
50	0.2446275573
51	0.2433571579
52	0.2424127284
53	0.2418925845
54	0.2405045461
55	0.2399038436
56	0.2388389897
57	0.2383536969
58	0.2373964547
59	0.2367967678
60	0.2358612761
61	0.2352556148
62	0.2343416423
63	0.2335484154
64	0.2327845896
65	0.2322778686
66	0.2316508687
67	0.2306955916
68	0.2300982921
69	0.22908769
70	0.2283801698
71	0.2278521881
72	0.2274331517
73	0.2268402249
74	0.2258830881
75	0.225237145
76	0.2242923848
77	0.2239031691
78	0.2233670198
79	0.2227277794
80	0.2218487905
81	0.2213770593
82	0.2208597182
83	0.2204473355
84	0.2200841028
85	0.2194877271
86	0.2188469799
87	0.2185464712
88	0.217331892
89	0.2170302751
90	0.2166071873
91	0.21591815
92	0.2154818589
93	0.2149469382
94	0.2143885484
95	0.2138469808
96	0.2130775212
97	0.212487402
98	0.2120371986
99	0.2117170099
100	0.211174732
101	0.2105878672
102	0.2099409039
103	0.2092248636
104	0.2088643483
105	0.2083932006
106	0.2081157023
107	0.2075604374
108	0.2070375074
109	0.2065654229
110	0.2058372117
111	0.2051901562
112	0.2047340619
113	0.2040532997
114	0.2038929647
115	0.2034347273
116	0.2030910865
117	0.2025912086
118	0.202119443
119	0.201703972
120	0.201509412
121	0.2011860854
122	0.2005110162
123	0.200099553
124	0.1996550254
125	0.1993533079
126	0.1988326859
127	0.1982755497
128	0.1980210618
129	0.1978711015
130	0.1972761716
131	0.1969931471
