iter	Passed	Remaining
0	3	3346
1	5	2851
2	8	2701
3	10	2654
4	13	2635
5	15	2637
6	18	2597
7	20	2592
8	23	2573
9	25	2551
10	28	2541
11	31	2556
12	33	2551
13	36	2539
14	38	2520
15	40	2506
16	43	2503
17	45	2498
18	48	2505
19	51	2515
20	53	2514
21	56	2522
22	59	2515
23	61	2519
24	64	2513
25	67	2510
26	69	2507
27	72	2502
28	74	2495
29	77	2493
30	79	2496
31	82	2499
32	85	2492
33	87	2489
34	90	2493
35	93	2493
36	95	2497
37	98	2495
38	101	2493
39	103	2494
40	106	2488
41	108	2484
42	111	2481
43	113	2475
44	116	2468
45	118	2461
46	120	2453
47	123	2445
48	125	2440
49	128	2432
50	130	2429
51	133	2426
52	135	2424
53	138	2418
54	140	2412
55	142	2405
56	145	2402
57	147	2396
58	150	2393
59	152	2388
60	155	2387
61	157	2389
62	161	2396
63	164	2399
64	167	2406
65	170	2408
66	173	2413
67	176	2416
68	179	2421
69	182	2420
70	185	2426
71	188	2429
72	191	2430
73	194	2434
74	197	2435
75	200	2434
76	202	2432
77	205	2431
78	208	2434
79	211	2434
80	214	2436
81	217	2437
82	222	2452
83	226	2474
84	232	2499
85	237	2525
86	241	2537
87	244	2537
88	249	2549
89	251	2546
90	255	2551
91	258	2552
92	261	2553
93	264	2549
94	267	2548
95	270	2544
96	273	2541
97	276	2540
98	278	2535
99	281	2536
100	284	2534
101	287	2533
102	290	2530
103	293	2530
104	296	2529
105	300	2532
106	303	2529
107	306	2531
108	309	2532
109	312	2530
110	316	2533
111	319	2531
112	322	2530
113	325	2527
114	328	2527
115	331	2523
116	334	2521
117	336	2518
118	339	2517
119	343	2518
120	346	2514
121	349	2515
122	352	2510
123	355	2507
124	357	2504
125	360	2499
126	363	2499
127	366	2494
128	369	2495
129	372	2492
130	375	2491
131	378	2490
132	381	2489
133	384	2488
134	387	2483
135	390	2483
136	393	2479
137	397	2483
138	400	2478
139	403	2480
140	406	2478
141	410	2481
142	413	2477
143	416	2476
144	419	2473
145	422	2473
146	425	2471
147	429	2469
148	432	2469
149	434	2464
150	438	2465
151	441	2460
152	444	2459
153	446	2455
154	449	2450
155	452	2449
156	455	2444
157	458	2444
158	461	2440
159	464	2439
160	467	2434
161	470	2432
162	472	2428
163	475	2422
164	478	2420
165	480	2415
166	483	2409
167	485	2406
168	488	2400
169	491	2399
170	493	2394
171	496	2388
172	499	2386
173	501	2382
174	504	2380
175	507	2375
176	509	2370
177	512	2367
178	515	2362
179	517	2357
180	520	2354
181	522	2350
182	525	2347
183	528	2342
184	530	2338
185	533	2334
186	535	2330
187	538	2326
188	541	2323
189	543	2318
